	Source 1	Source 2	Source 3	Source 4	Source 5	Source Sum
Page 2135	6274	1750	181	7038	3252	18495
Page 7586	1354	632	5902	7995	2613	18496
Page 7245	294	689	3583	5303	8628	18497
Page 9616	770	1986	9713	5247	788	18504
Page 5462	767	6563	1800	7966	1420	18516
Page 1903	863	7909	1688	127	7931	18518
Page 8716	5858	1121	6265	1873	3405	18522
Page 3968	1281	2550	6078	719	7895	18523
Page 2292	2206	6562	887	7935	939	18529
Page 7081	7962	1184	5111	2706	1571	18534
Page 3663	275	179	8011	5901	4168	18534
Page 6140	409	5382	4643	5723	2382	18539
Page 6309	6112	677	3315	784	7653	18541
Page 3515	8908	2027	1136	3618	2858	18547
Page 567	2328	5883	5963	2460	1916	18550
Page 4337	123	7445	7863	2138	982	18551
Page 7665	6264	4420	4864	205	2799	18552
Page 747	3049	1542	3696	8129	2139	18555
Page 4852	399	4309	8163	724	4960	18555
Page 6877	9196	2154	527	4809	1871	18557
Page 4316	6817	501	9481	855	908	18562
Page 2296	9485	32	59	1135	7854	18565
Page 3826	4845	6180	4370	656	2514	18565
Page 4887	2185	8136	4031	1398	2816	18566
Page 7151	9525	1944	598	5548	952	18567
Page 3004	3251	9006	1809	441	4064	18571
Page 1004	1209	1076	6823	3263	6201	18572
Page 2902	8348	500	2161	2357	5210	18576
Page 4586	5888	1728	3605	3674	3688	18583
Page 6913	3492	4023	3407	1347	6321	18590
Page 1561	1381	4227	3845	1449	7691	18593
Page 3384	3511	2325	1506	7767	3485	18594
Page 167	5573	941	7757	3247	1081	18599
Page 4197	2469	7515	3300	1455	3862	18601
Page 8662	7012	734	8157	1622	1077	18602
Page 7493	1122	1743	8796	1303	5650	18614
Page 9085	3049	2194	1379	6214	5778	18614
Page 2780	5457	343	3841	3231	5742	18614
Page 1990	3931	2292	2701	6102	3590	18616
Page 6779	6045	7200	1955	2909	509	18618
Page 9373	7265	511	2958	2872	5013	18619
Page 8690	788	1468	7171	1891	7302	18620
Page 4930	900	8662	2192	6745	130	18629
Page 7154	3845	6965	4199	972	2649	18630
Page 1420	4595	1871	3114	4823	4236	18639
Page 4736	7065	1036	7164	293	3083	18641
Page 4214	6544	14	5617	1691	4780	18646
Page 1712	873	9269	2349	2355	3803	18649
Page 267	1598	905	1550	5897	8699	18649
Page 6041	4490	7081	1150	1884	4050	18655
Page 8584	1483	7594	220	3477	5883	18657
Page 4122	4451	1160	2723	2283	8051	18668
Page 5751	4482	1451	6287	6293	156	18669
Page 1576	9148	218	5050	114	4146	18676
Page 990	3158	301	9456	3531	2235	18681
Page 6266	7124	192	2178	7912	1275	18681
Page 4113	1312	5841	4481	2004	5044	18682
Page 737	7945	2449	6168	270	1854	18686
Page 1748	4072	4361	7119	2513	626	18691
Page 2113	466	2095	4637	3615	7878	18691
Page 190	8306	929	1241	6664	1552	18692
Page 7148	2479	2140	9659	3391	1024	18693
Page 720	2892	234	5309	897	9372	18704
Page 284	3229	3798	3501	5067	3114	18709
Page 7974	2375	2455	2114	8435	3333	18712
Page 8624	4205	4274	4697	4128	1408	18712
Page 8436	4890	4740	4563	1822	2699	18714
Page 2030	4480	3311	7655	3156	113	18715
Page 2612	4749	2455	297	7059	4157	18717
Page 3445	7902	153	2031	120	8515	18721
Page 8283	840	6188	114	8343	3248	18733
Page 5374	1217	3528	210	4705	9075	18735
Page 7369	4067	3876	73	2709	8010	18735
Page 3246	8226	3555	1878	4120	958	18737
Page 7304	1675	1578	6111	1778	7600	18742
Page 3024	902	8429	2101	5774	1536	18742
Page 8174	7069	3547	4983	1266	1883	18748
Page 5677	220	579	5611	6251	6091	18752
Page 6926	581	5649	2852	5827	3848	18757
Page 3650	3017	314	4525	5805	5096	18757
Page 7799	7	8277	5119	2300	3057	18760
Page 3637	3484	1443	7579	5502	756	18764
Page 5217	2682	1419	5632	2868	6164	18765
Page 2335	3309	549	6004	1810	7095	18767
Page 7808	3956	7347	2686	1431	3347	18767
Page 5451	1511	3291	4427	1336	8209	18774
Page 5989	4685	1164	6221	4959	1745	18774
Page 942	2520	5570	6804	1699	2184	18777
Page 1171	4318	807	7635	5197	820	18777
Page 7331	2601	9635	144	6312	85	18777
Page 184	3838	7058	1473	1674	4736	18779
Page 9647	2498	598	106	8101	7476	18779
Page 9129	2840	3684	472	7694	4090	18780
Page 5880	3405	8816	1842	1664	3056	18783
Page 4255	3541	2052	5943	1040	6208	18784
Page 4678	6075	3374	415	7270	1651	18785
Page 6102	1751	680	6396	9053	908	18788
Page 6433	631	6681	2043	4362	5071	18788
Page 7928	4234	5220	2526	6764	49	18793
Page 1940	4354	4449	1692	2140	6160	18795
Page 8697	6286	5269	3906	1300	2035	18796
Page 7511	981	2612	5159	6137	3908	18797
Page 2732	2848	2525	9943	2703	782	18801
Page 8570	8689	3768	4303	817	1234	18811
Page 5455	1156	110	7613	673	9261	18813
Page 3910	371	4567	1086	6870	5923	18817
Page 3338	8414	114	2071	5030	3191	18820
Page 5505	959	8273	5365	2955	1271	18823
Page 5630	1606	1647	5360	1053	9157	18823
Page 5983	8641	4928	2487	1353	1416	18825
Page 995	3373	1540	6810	3409	3697	18829
Page 5291	3370	1251	7613	2325	4271	18830
Page 5248	2924	8866	2539	2778	1731	18838
Page 5322	4027	3449	2328	1506	7529	18839
Page 2974	991	7193	6922	2806	929	18841
Page 5803	1500	4670	8709	2129	1833	18841
Page 3808	895	7219	2139	5961	2629	18843
Page 9117	823	3925	4810	1972	7314	18844
Page 6798	669	1547	7536	4122	4972	18846
Page 6672	1647	4871	8941	1795	1593	18847
Page 909	6734	1527	1236	6942	2409	18848
Page 2247	1851	4278	8380	3582	757	18848
Page 3885	7440	2903	2396	686	5425	18850
Page 9795	5320	8761	4238	179	352	18850
Page 5637	557	4558	2878	5896	4964	18853
Page 4163	5330	648	2850	9254	772	18854
Page 7419	5213	4830	3675	2698	2438	18854
Page 4408	9219	52	2113	2945	4526	18855
Page 3981	1146	86	5099	8815	3713	18859
Page 3080	3662	7255	2372	3692	1878	18859
Page 8851	1070	1548	9274	3084	3885	18861
Page 1927	253	3962	3661	6183	4806	18865
Page 2365	4135	9029	5056	132	517	18869
Page 4750	3394	2985	1629	3945	6920	18873
Page 9765	8022	1179	3476	1037	5159	18873
Page 4708	38	4810	7240	6241	550	18879
Page 3786	6182	1180	6176	4843	499	18880
Page 6200	2426	512	7235	509	8198	18880
Page 2817	236	2260	6329	3618	6444	18887
Page 6961	8857	2936	3853	3061	180	18887
Page 1035	6244	2042	6057	2515	2031	18889
Page 5333	6457	1398	1061	8577	1398	18891
Page 3323	7127	1314	69	8185	2197	18892
Page 9527	2547	425	8015	435	7473	18895
Page 5148	1297	8183	936	4885	3595	18896
Page 4758	3840	6363	2726	3798	2172	18899
Page 5909	1431	4215	1793	9890	1570	18899
Page 2494	222	7391	1023	3137	7126	18899
Page 2540	3919	2356	5069	650	6915	18909
Page 6173	2079	117	5443	2406	8865	18910
Page 7210	8418	3814	1506	1127	4050	18915
Page 5849	6443	9828	589	754	1305	18919
Page 7166	3722	8	5336	4593	5264	18923
Page 182	5423	2210	4333	4804	2156	18926
Page 7271	3482	1793	5033	3347	5271	18926
Page 5866	1268	9366	692	3392	4210	18928
Page 5473	512	7748	1251	454	8964	18929
Page 7896	242	6638	49	8045	3955	18929
Page 4147	3811	2747	2932	8082	1359	18931
Page 9689	924	7064	1796	2633	6516	18933
Page 7943	3183	3019	161	4999	7571	18933
Page 1514	1933	1578	5583	3771	6078	18943
Page 8682	395	6488	306	4588	7167	18944
Page 2866	3676	3642	3497	3744	4385	18944
Page 6113	6105	2739	6908	2203	991	18946
Page 1047	4858	4836	825	2339	6088	18946
Page 9958	106	222	6061	3931	8629	18949
Page 1135	5227	4335	6962	852	1573	18949
Page 8754	583	3929	1181	3759	9498	18950
Page 3564	1585	6047	9460	793	1067	18952
Page 382	5500	6052	2430	1689	3283	18954
Page 6352	799	5978	8618	2380	1179	18954
Page 1451	6475	4419	4895	275	2891	18955
Page 5161	6592	5605	2083	4210	467	18957
Page 2794	4528	6184	3544	4449	253	18958
Page 3326	3525	1547	3794	9056	1038	18960
Page 9668	5392	5858	4912	1231	1571	18964
Page 6980	6258	9065	581	2044	1024	18972
Page 3923	5518	725	8088	1309	3334	18974
Page 163	3555	671	9743	687	4323	18979
Page 3475	7223	2853	4410	123	4372	18981
Page 9232	188	7408	847	4874	5664	18981
Page 8842	2411	7410	3932	741	4487	18981
Page 1810	4048	1336	4820	3736	5045	18985
Page 6927	2747	2396	4607	5042	4197	18989
Page 6338	2164	6050	720	5958	4100	18992
Page 1921	1784	5075	4111	7094	929	18993
Page 491	940	5127	2592	3526	6811	18996
Page 1865	1387	1388	2631	9999	3592	18997
Page 5617	2854	7634	1154	1902	5455	18999
Page 2457	1719	3988	4895	8279	121	19002
Page 9588	7963	2158	3672	1455	3756	19004
Page 3478	5165	796	6067	1245	5731	19004
Page 3957	546	7551	1992	7584	1331	19004
Page 4803	2864	8770	5174	752	1446	19006
Page 4321	1343	2391	5807	7097	2369	19007
Page 3192	5918	1161	4206	4574	3149	19008
Page 8013	2231	8887	6359	1049	485	19011
Page 3034	5032	3668	1763	2951	5599	19013
Page 8186	4231	3976	8126	2181	501	19015
Page 18	5520	5680	6567	334	915	19016
Page 9898	7061	2772	877	3494	4812	19016
Page 693	1315	6592	2080	7613	1421	19021
Page 7773	8146	6509	103	1033	3239	19030
Page 9079	5965	2140	7988	212	2728	19033
Page 2657	6446	1034	4943	3778	2837	19038
Page 1463	6370	4194	6580	161	1733	19038
Page 6158	4990	3739	2429	440	7440	19038
Page 3509	8959	1445	371	1314	6958	19047
Page 6402	252	530	6725	1779	9763	19049
Page 1991	3191	2468	7638	5096	659	19052
Page 8006	1424	2413	5356	524	9335	19052
Page 487	67	4237	5004	2326	7420	19054
Page 4568	423	4851	256	8680	4847	19057
Page 7696	3377	6625	234	2135	6687	19058
Page 2619	4806	1738	8378	1232	2907	19061
Page 7801	4212	1664	5481	5686	2019	19062
Page 8178	1520	4612	3181	3502	6247	19062
Page 2622	5391	3707	6259	245	3462	19064
Page 4347	6221	4909	822	992	6126	19070
Page 4451	1971	5433	3826	2356	5493	19079
Page 2499	1262	6873	142	7734	3069	19080
Page 9530	2822	1188	3703	3760	7616	19089
Page 8138	5945	2680	603	5473	4390	19091
Page 168	2883	881	7951	4685	2693	19093
Page 5181	3280	549	1908	8891	4466	19094
Page 6761	3253	8277	5478	872	1215	19095
Page 5437	5130	3853	6531	128	3460	19102
Page 2447	1023	2411	4597	8729	2345	19105
Page 3937	3186	9951	1969	3727	278	19111
Page 8869	4817	5137	1402	5581	2177	19114
Page 2522	8281	5096	3091	2142	507	19117
Page 8333	76	1279	4959	3591	9212	19117
Page 2616	8636	6621	208	1927	1727	19119
Page 649	2238	11	9298	6768	804	19119
Page 9785	7334	204	9633	740	1210	19121
Page 278	2818	5291	7516	2707	790	19122
Page 3394	9919	2838	1259	3807	1300	19123
Page 4908	1962	4875	2948	899	8443	19127
Page 7375	9718	4894	1422	2412	683	19129
Page 7774	3534	6123	2727	6119	628	19131
Page 5663	8729	380	3283	1417	5325	19134
Page 4731	5806	3355	3125	5664	1185	19135
Page 6095	4173	628	4344	5423	4569	19137
Page 4370	466	5299	2159	3870	7347	19141
Page 4388	994	3846	6505	5630	2168	19143
Page 1938	6764	379	5698	775	5531	19147
Page 7628	9399	3911	150	5252	436	19148
Page 1797	8791	2396	4322	2909	732	19150
Page 7111	4884	6529	4032	2728	977	19150
Page 9609	1259	1745	5941	6976	3231	19152
Page 7988	4802	1469	2718	1647	8518	19154
Page 3891	1065	1115	9483	3919	3573	19155
Page 9540	4431	784	6150	6308	1487	19160
Page 6929	5345	3966	38	8988	831	19168
Page 686	8343	3760	1369	2680	3017	19169
Page 6484	737	4178	4130	748	9377	19170
Page 1766	668	8333	691	3618	5868	19178
Page 7320	298	5020	4827	1752	7284	19181
Page 9004	5610	1653	648	6958	4314	19183
Page 4801	6480	446	350	2082	9827	19185
Page 5719	8894	1420	68	455	8355	19192
Page 8423	1057	3189	4502	7025	3419	19192
Page 3186	8343	654	884	6896	2417	19194
Page 1604	2504	1403	5374	3658	6255	19194
Page 9880	2566	2244	1966	6364	6055	19195
Page 9482	4477	6570	4498	1742	1916	19203
Page 4436	3195	4835	4277	5404	1495	19206
Page 8719	1228	8019	5535	3843	581	19206
Page 8069	4917	424	3825	7655	2387	19208
Page 3388	1589	3799	3605	508	9709	19210
Page 6513	2428	2135	3590	4749	6309	19211
Page 2565	3292	4280	4843	3573	3223	19211
Page 9834	9884	1937	732	2715	3948	19216
Page 7285	1187	6620	3584	5518	2309	19218
Page 1646	1651	2812	5492	7093	2174	19222
Page 3066	6531	4336	2125	5349	884	19225
Page 4903	563	6631	1495	8525	2013	19227
Page 8232	6134	1477	6186	3097	2337	19231
Page 4944	2537	1552	6183	5775	3187	19234
Page 9541	1283	5487	6491	571	5403	19235
Page 771	4020	8035	3837	342	3002	19236
Page 2606	2935	3454	6252	5475	1122	19238
Page 3429	602	1455	8352	3231	5603	19243
Page 4266	3457	8894	2444	1889	2560	19244
Page 6717	5660	2674	4766	2374	3770	19244
Page 7308	5418	155	433	3444	9796	19246
Page 527	5953	3688	5351	1815	2440	19247
Page 5489	3554	6094	3778	3526	2296	19248
Page 7718	8202	1565	1695	3806	3980	19248
Page 97	6033	148	2677	6194	4198	19250
Page 1394	3561	3332	550	1970	9841	19254
Page 4800	2059	9403	1358	4804	1633	19257
Page 60	579	1464	9000	446	7773	19262
Page 476	1790	742	6928	1468	8337	19265
Page 9200	1720	4330	4953	8178	89	19270
Page 72	2816	6519	3102	4534	2302	19273
Page 7268	5824	1266	705	3248	8230	19273
Page 7289	5893	5816	2012	4297	1257	19275
Page 8272	2557	4221	4506	1346	6652	19282
Page 9025	5372	2921	2449	7663	877	19282
Page 643	6448	3231	2762	4459	2383	19283
Page 8918	1482	4056	9254	4264	229	19285
Page 5445	6123	1638	7799	2783	942	19285
Page 5297	9357	1301	7818	785	26	19287
Page 6359	3546	5316	1898	6798	1730	19288
Page 9076	5085	4975	5895	2732	603	19290
Page 212	2173	8789	6228	1295	810	19295
Page 2520	820	272	5764	2584	9861	19301
Page 717	6317	1308	5049	445	6188	19307
Page 7921	8642	6431	2678	452	1106	19309
Page 8908	400	1075	1413	6820	9601	19309
Page 4892	3101	7977	4008	3679	545	19310
Page 1385	2938	7842	377	397	7756	19310
Page 9335	9030	487	3192	2733	3869	19311
Page 8338	3777	4959	758	9392	426	19312
Page 8079	237	4200	2129	7840	4907	19313
Page 9423	1463	1471	7353	8371	659	19317
Page 8156	3584	9116	431	894	5304	19329
Page 7379	1464	3572	5948	6823	1523	19330
Page 9270	3547	2522	4102	6465	2695	19331
Page 5645	6498	1867	7722	643	2602	19332
Page 3093	1087	9904	3272	2857	2212	19332
Page 4602	3003	3185	8871	3066	1208	19333
Page 110	1038	5446	8199	3504	1149	19336
Page 5619	2060	9569	2647	3008	2055	19339
Page 4252	8002	365	9078	274	1621	19340
Page 1205	2412	5723	9243	1739	232	19349
Page 3689	6327	1603	4773	3149	3503	19355
Page 1209	1478	3339	3014	7516	4009	19356
Page 1541	7119	3926	1976	6229	106	19356
Page 4729	5766	2104	2556	5567	3363	19356
Page 3567	302	5658	905	5045	7447	19357
Page 6785	5979	1657	2093	2952	6681	19362
Page 3185	5881	3265	1235	8066	919	19366
Page 7105	2853	4894	4451	7157	11	19366
Page 2532	2576	5567	411	6755	4059	19368
Page 9928	4667	5459	8231	901	111	19369
Page 9786	3499	6256	588	2250	6776	19369
Page 6240	4787	5667	7637	1019	262	19372
Page 8170	2487	5666	6071	2821	2329	19374
Page 994	4999	1945	3536	4065	4831	19376
Page 9909	7221	6271	164	880	4845	19381
Page 9229	3946	5343	990	1391	7711	19381
Page 3172	7849	1104	7406	2235	793	19387
Page 2338	2619	7774	32	1633	7332	19390
Page 5128	1453	467	4043	8224	5203	19390
Page 3368	63	8050	9202	1413	662	19390
Page 2146	106	7899	3487	7780	119	19391
Page 4802	7606	6158	842	3252	1538	19396
Page 1981	1325	5377	2881	5321	4493	19397
Page 6241	5814	3912	2968	2764	3940	19398
Page 4637	6998	702	2436	5809	3454	19399
Page 2116	359	8273	2531	6672	1565	19400
Page 1387	3812	7783	875	2922	4009	19401
Page 2774	3114	7462	8114	42	673	19405
Page 3626	5635	1695	2586	1649	7843	19408
Page 9080	3591	5235	9379	94	1112	19411
Page 4915	7141	4012	4304	3838	120	19415
Page 5313	4192	2197	2933	1746	8350	19418
Page 1873	193	5199	1382	3181	9465	19420
Page 7549	6111	2460	2168	3968	4713	19420
Page 6466	3545	1298	8334	3518	2726	19421
Page 5324	2186	232	5169	5212	6622	19421
Page 9132	5054	588	9697	3486	597	19422
Page 9136	9617	5108	792	1262	2645	19424
Page 7002	1225	1387	2738	5857	8219	19426
Page 2980	4918	955	9929	3449	179	19430
Page 9299	4658	156	4738	4338	5541	19431
Page 7817	1570	1852	7041	4520	4449	19432
Page 5240	9609	6273	1481	10	2060	19433
Page 5788	9944	557	3587	1282	4065	19435
Page 4124	8505	1243	2426	6967	295	19436
Page 3906	6209	3512	32	6181	3507	19441
Page 1651	9097	7730	130	820	1664	19441
Page 2807	3980	3366	9198	1514	1384	19442
Page 8057	1698	425	6871	8027	2423	19444
Page 9816	4545	3168	3576	1408	6750	19447
Page 514	7275	2485	1528	5218	2941	19447
Page 7985	7951	1782	6405	637	2674	19449
Page 4071	4593	802	2819	2066	9171	19451
Page 5683	4829	6910	135	3497	4081	19452
Page 5657	6397	2413	5811	2567	2264	19452
Page 5665	4153	1573	7336	5188	1211	19461
Page 8527	1309	4704	1770	2461	9219	19463
Page 1427	2885	4377	8853	2031	1323	19469
Page 6164	7216	386	8509	1851	1511	19473
Page 2291	1847	9152	1847	480	6150	19476
Page 7608	3793	6468	1640	5915	1660	19476
Page 3609	1659	8070	3098	130	6520	19477
Page 865	3798	2761	5879	3277	3764	19479
Page 9925	8960	90	7366	216	2848	19480
Page 1914	268	7889	510	2856	7957	19480
Page 8128	2958	721	6997	6096	2715	19487
Page 6613	3817	757	2236	5285	7393	19488
Page 1193	554	7078	2063	8399	1395	19489
Page 9948	3713	1293	2687	8329	3467	19489
Page 969	7035	826	7544	214	3871	19490
Page 7138	2522	1845	3382	9366	2379	19494
Page 9495	4911	3940	3630	4777	2239	19497
Page 7296	2273	6343	877	8439	1567	19499
Page 7949	899	7429	1533	8898	740	19499
Page 7732	2220	8067	7659	1203	351	19500
Page 2653	5149	6016	6013	2234	89	19501
Page 961	4546	9485	2294	1165	2013	19503
Page 436	3079	815	419	8934	6257	19504
Page 4775	2057	8933	853	1073	6590	19506
Page 8943	2685	5992	3836	5207	1787	19507
Page 9491	2094	832	9266	6416	904	19512
Page 5143	750	783	3473	7007	7501	19514
Page 2185	3594	2895	4163	8354	509	19515
Page 2443	4104	7790	607	5044	1970	19515
Page 3043	7182	4540	617	3381	3796	19516
Page 1549	674	9314	3252	1957	4320	19517
Page 1671	3016	3000	2109	6697	4696	19518
Page 320	6240	719	1145	7302	4114	19520
Page 883	1592	4762	2981	2073	8112	19520
Page 7496	3979	4045	3195	5602	2705	19526
Page 47	3922	3084	3398	5073	4054	19531
Page 8325	520	805	5774	3045	9396	19540
Page 5590	266	4575	2010	8298	4393	19542
Page 7457	3700	5285	4314	3511	2732	19542
Page 1442	235	2665	1633	9853	5158	19544
Page 8485	2489	1024	9474	3	6559	19549
Page 5510	2702	7215	5478	1930	2227	19552
Page 8951	5622	3418	3448	2351	4717	19556
Page 8390	5174	908	1494	7643	4338	19557
Page 791	2397	4101	9756	1387	1916	19557
Page 5574	794	5376	6342	1342	5703	19557
Page 9517	1086	5775	1420	6555	4722	19558
Page 1295	5339	1913	9438	734	2138	19562
Page 5796	6730	3875	2591	4257	2110	19563
Page 6635	2782	2266	3473	6967	4075	19563
Page 3312	863	7580	129	1665	9337	19574
Page 9461	5291	5018	4265	2978	2024	19576
Page 8124	7144	5740	1723	3778	1196	19581
Page 5860	5058	3812	6271	337	4104	19582
Page 6744	597	9896	2338	599	6153	19583
Page 2721	4706	8144	825	1457	4452	19584
Page 3693	5552	4349	4687	226	4773	19587
Page 7276	5898	256	3484	3873	6076	19587
Page 9026	7702	31	5871	1348	4637	19589
Page 8592	4470	3420	808	4501	6390	19589
Page 5692	6220	5340	4327	3157	547	19591
Page 1816	1169	7285	1884	7718	1542	19598
Page 9312	9911	190	1063	4543	3892	19599
Page 6879	8235	2414	5326	3569	58	19602
Page 1636	7463	9222	134	1209	1575	19603
Page 8488	3167	4094	7173	2723	2448	19605
Page 1495	7788	877	5407	3685	1850	19607
Page 8376	6962	2519	748	1326	8053	19608
Page 9536	7035	1839	361	1905	8470	19610
Page 8911	1603	2359	9025	2331	4292	19610
Page 4049	6409	1048	4661	1633	5860	19611
Page 3941	5665	5241	6257	1945	504	19612
Page 4211	3911	3866	5276	4951	1612	19616
Page 2604	5960	4117	1530	3131	4879	19617
Page 833	1221	7177	3729	308	7183	19618
Page 7054	2335	6225	5882	2592	2588	19622
Page 9691	8265	6641	4169	327	223	19625
Page 7566	9955	3881	3201	1939	653	19629
Page 3725	3576	3978	840	8041	3194	19629
Page 7717	3832	3105	3500	665	8529	19631
Page 1785	5285	1323	3669	1482	7875	19634
Page 7219	841	7730	5669	102	5296	19638
Page 9290	5740	3958	4420	369	5156	19643
Page 8099	7682	4575	470	138	6781	19646
Page 6075	4803	178	4363	7440	2863	19647
Page 395	5806	6796	1651	830	4564	19647
Page 9393	4656	2462	7365	1803	3379	19665
Page 9404	2966	1719	7827	5103	2051	19666
Page 9574	2951	8748	2637	4340	994	19670
Page 1263	7016	1908	473	535	9743	19675
Page 2894	305	4001	3822	5015	6537	19680
Page 6455	467	2361	9651	4078	3129	19686
Page 6304	5651	1105	4246	5773	2911	19686
Page 7624	2878	2130	7443	6424	814	19689
Page 2162	3244	5075	4600	2903	3872	19694
Page 5482	3169	7870	2016	67	6575	19697
Page 1485	2886	4797	1975	5471	4571	19700
Page 3678	791	8690	1903	7145	1173	19702
Page 1974	1882	5644	7372	3339	1470	19707
Page 8278	5576	3513	1492	3525	5603	19709
Page 7315	2185	687	9378	4011	3449	19710
Page 9599	4839	4392	5016	1804	3665	19716
Page 6355	1223	5455	3609	7902	1527	19716
Page 3747	591	6922	5694	5199	1311	19717
Page 1364	2134	699	6823	8161	1901	19718
Page 3099	833	4760	5677	7124	1325	19719
Page 2045	5541	4448	1259	4014	4457	19719
Page 4379	6154	3541	2051	2622	5355	19723
Page 5772	1027	1948	7232	4663	4855	19725
Page 1185	178	7319	5899	3596	2734	19726
Page 9794	3242	7214	2621	5296	1353	19726
Page 7855	9629	4526	1890	2587	1095	19727
Page 9412	9616	593	158	8983	378	19728
Page 1679	5247	1081	4685	739	7977	19729
Page 9319	71	4626	3834	7008	4191	19730
Page 2951	2317	4746	6253	3702	2713	19731
Page 7668	4996	829	1738	9056	3113	19732
Page 5233	326	9603	195	1935	7673	19732
Page 5524	4371	623	4202	2173	8365	19734
Page 3613	171	6422	2165	6889	4089	19736
Page 4684	2726	630	2997	4271	9113	19737
Page 4799	5971	4141	1010	7824	792	19738
Page 225	3714	2252	6304	1141	6329	19740
Page 1688	4243	5459	2688	5210	2141	19741
Page 9989	4228	3996	6856	3629	1035	19744
Page 3302	801	4369	6061	7391	1123	19745
Page 9885	1589	677	5177	8018	4286	19747
Page 5187	1643	4697	1019	5531	6857	19747
Page 1244	9642	60	4575	4945	528	19750
Page 5426	474	9961	3288	5820	207	19750
Page 4847	8187	4227	3620	42	3675	19751
Page 2853	4527	4366	9894	425	539	19751
Page 5941	6356	1111	1439	8337	2510	19753
Page 2569	8109	2716	3895	923	4111	19754
Page 6846	921	4200	5170	3088	6378	19757
Page 6431	6887	4931	629	4614	2697	19758
Page 6831	9164	2790	3549	76	4186	19765
Page 7359	4168	4925	6853	1363	2457	19766
Page 4484	1744	1934	488	7382	8221	19769
Page 1752	4805	5238	3572	898	5260	19773
Page 2696	9537	1439	1777	6376	646	19775
Page 1814	660	5704	2046	4729	6636	19775
Page 9763	3342	1649	5126	4731	4927	19775
Page 251	6321	492	2236	2351	8376	19776
Page 5102	1327	4515	8378	1379	4179	19778
Page 581	3935	4531	4286	3204	3824	19780
Page 7972	3097	8909	2485	1049	4242	19782
Page 2235	4007	6451	5417	850	3059	19784
Page 4195	1427	1890	5259	8470	2744	19790
Page 1537	4260	5401	2484	7166	479	19790
Page 9872	2798	2044	3379	6948	4623	19792
Page 7861	312	32	4693	8432	6325	19794
Page 78	1651	7368	879	3246	6651	19795
Page 3754	7962	1872	7331	984	1646	19795
Page 3415	764	5541	1242	7257	4992	19796
Page 9107	4738	1647	7411	992	5009	19797
Page 3748	2337	7123	1291	1464	7584	19799
Page 7743	1127	5625	8133	811	4104	19800
Page 1080	1278	3304	2060	8210	4950	19802
Page 5971	5980	3326	610	4577	5311	19804
Page 3313	7864	1703	5528	1003	3706	19804
Page 6407	5220	4446	7990	62	2092	19810
Page 3557	766	4895	6260	4379	3510	19810
Page 4363	2868	340	6098	6531	3975	19812
Page 554	3411	4267	1085	7353	3699	19815
Page 5697	8114	1228	1310	1907	7271	19830
Page 3006	7513	1037	7042	3220	1021	19833
Page 4328	2338	6964	895	7986	1650	19833
Page 2700	2610	6593	1333	7819	1484	19839
Page 9831	7517	1383	8567	370	2005	19842
Page 4690	1455	9094	3175	3640	2484	19848
Page 1657	8962	5989	1070	1455	2381	19857
Page 2407	7369	6545	4264	161	1519	19858
Page 6112	655	445	7807	3590	7362	19859
Page 8587	5460	8831	4379	856	336	19862
Page 6218	6230	2244	2016	6897	2477	19864
Page 2465	2161	8330	5442	3271	661	19865
Page 768	8335	5967	188	3236	2143	19869
Page 6220	6025	9792	170	2646	1238	19871
Page 2038	5337	5197	3473	5546	318	19871
Page 7712	2611	7388	2476	3457	3942	19874
Page 2432	1193	4477	9984	479	3745	19878
Page 7112	7330	1100	4907	3952	2590	19879
Page 7636	28	78	8403	7956	3415	19880
Page 8300	5421	1837	4310	8092	220	19880
Page 4313	2011	754	2332	8701	6087	19885
Page 7809	191	3566	8821	4743	2566	19887
Page 9954	3875	3463	2541	8735	1273	19887
Page 345	1293	5088	3875	4555	5077	19888
Page 6394	4569	1820	3968	8947	584	19888
Page 2808	2005	7093	9884	676	232	19890
Page 6033	8812	1742	1187	3734	4417	19892
Page 2741	2955	2779	1628	6392	6143	19897
Page 2949	5878	5638	826	4462	3093	19897
Page 8642	1531	6015	3537	7578	1237	19898
Page 5532	3488	8987	2767	1974	2683	19899
Page 4692	1885	3421	5541	932	8120	19899
Page 474	3264	4163	4033	1406	7039	19905
Page 3726	1763	600	8375	4651	4517	19906
Page 2888	5343	5665	289	871	7739	19907
Page 1103	1042	106	3788	6948	8029	19913
Page 1414	3186	6830	1625	5585	2689	19915
Page 5634	5209	5190	110	673	8733	19915
Page 8238	2195	5322	337	9376	2690	19920
Page 9011	1035	1635	6979	7406	2871	19926
Page 2287	1722	474	3090	6072	8568	19926
Page 6912	3377	7310	122	3886	5234	19929
Page 8256	1933	5639	6894	1050	4414	19930
Page 3455	3190	4169	3496	401	8675	19931
Page 2705	8417	2046	4580	2455	2438	19936
Page 8207	4259	3960	1507	9773	439	19938
Page 7699	7226	2615	6228	118	3754	19941
Page 772	1590	2840	6715	5657	3143	19945
Page 5635	2391	4356	6637	373	6190	19947
Page 7257	8919	2301	3565	4632	531	19948
Page 2216	185	9995	7134	2189	445	19948
Page 8561	8229	1763	4102	2333	3526	19953
Page 6694	4975	3110	4447	2899	4525	19956
Page 955	4236	3673	1963	7413	2672	19957
Page 3540	4495	726	1340	3767	9629	19957
Page 6942	8583	621	6160	4186	412	19962
